epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,191.43,1.35889,0.94389,1.80689,0.98724,0.91661,0.92865,0.68778,0.96512,0.63504,1.69962,0.007921,0.007921,0.007921
44,195.856,1.37948,0.96478,1.81033,0.98642,0.91673,0.922,0.68219,0.98725,0.66905,1.67462,0.0078715,0.0078715,0.0078715
45,200.268,1.37094,1.00769,1.84026,0.9959,0.9102,0.93303,0.69405,0.94714,0.65141,1.63277,0.007822,0.007822,0.007822
46,204.674,1.37443,1.03283,1.82662,0.94446,0.86187,0.9231,0.61938,1.27747,0.90508,1.97191,0.0077725,0.0077725,0.0077725
47,209.087,1.32988,0.93268,1.77942,0.9633,0.7804,0.87952,0.62127,1.17004,1.14841,1.75808,0.007723,0.007723,0.007723
48,213.511,1.33192,0.96704,1.76941,0.99437,0.91731,0.93262,0.70694,0.93213,0.73789,1.60159,0.0076735,0.0076735,0.0076735
49,217.921,1.27998,0.94262,1.74854,0.98891,0.91672,0.92772,0.70294,0.91667,0.63059,1.59359,0.007624,0.007624,0.007624
50,222.363,1.25964,0.92974,1.70842,0.98792,0.90711,0.92609,0.68917,0.98096,0.67157,1.6637,0.0075745,0.0075745,0.0075745
51,226.796,1.26098,0.91717,1.74123,0.99846,0.92517,0.93505,0.71771,0.89607,0.62933,1.53201,0.007525,0.007525,0.007525
52,231.253,1.26547,0.91823,1.73984,0.97426,0.91183,0.9247,0.71835,0.89547,0.635,1.58023,0.0074755,0.0074755,0.0074755
53,235.683,1.26902,0.89272,1.72783,0.97999,0.90948,0.92454,0.7224,0.8572,0.61848,1.54097,0.007426,0.007426,0.007426
54,240.216,1.2441,0.87647,1.72167,0.96326,0.90368,0.92156,0.66113,1.11562,0.75975,1.79181,0.0073765,0.0073765,0.0073765
55,244.628,1.26546,0.89692,1.71915,0.98359,0.91605,0.92721,0.69915,0.94088,0.58175,1.62078,0.007327,0.007327,0.007327
56,249.055,1.21586,0.85989,1.6917,0.98739,0.9064,0.92563,0.71318,0.88673,0.57547,1.57521,0.0072775,0.0072775,0.0072775
57,253.455,1.21759,0.85617,1.68701,0.94964,0.89646,0.92731,0.65904,1.03432,0.76349,1.70754,0.007228,0.007228,0.007228
58,257.882,1.28816,0.88793,1.71356,0.98098,0.91463,0.92607,0.6609,1.03318,0.66658,1.67357,0.0071785,0.0071785,0.0071785
59,262.315,1.26477,0.86355,1.68676,0.95914,0.91409,0.93181,0.72324,0.85149,0.63491,1.50058,0.007129,0.007129,0.007129
60,266.772,1.27968,0.8869,1.72603,0.97467,0.92372,0.93718,0.68293,1.05827,0.63801,1.57126,0.0070795,0.0070795,0.0070795
61,271.198,1.19808,0.83338,1.66966,0.98757,0.9226,0.93499,0.73475,0.8453,0.5972,1.51414,0.00703,0.00703,0.00703
62,275.651,1.19379,0.82671,1.65364,0.96693,0.92752,0.92649,0.74836,0.78025,0.576,1.45382,0.0069805,0.0069805,0.0069805
63,280.193,1.12512,0.81842,1.58188,0.94509,0.91182,0.93198,0.70795,0.90996,0.64161,1.58174,0.006931,0.006931,0.006931
64,284.622,1.14505,0.83611,1.6034,0.97164,0.91268,0.93272,0.70926,0.92144,0.62456,1.59873,0.0068815,0.0068815,0.0068815
65,289.047,1.1671,0.84407,1.66066,0.98256,0.91602,0.92851,0.73845,0.81916,0.58272,1.46083,0.006832,0.006832,0.006832
66,293.469,1.16785,0.84835,1.63282,0.98089,0.91387,0.92739,0.74783,0.81478,0.54727,1.46867,0.0067825,0.0067825,0.0067825
67,297.892,1.15028,0.80645,1.614,0.984,0.91456,0.92719,0.76345,0.73917,0.51688,1.40924,0.006733,0.006733,0.006733
68,302.333,1.1558,0.84454,1.61375,0.99468,0.9251,0.93984,0.73818,0.8119,0.57059,1.46496,0.0066835,0.0066835,0.0066835
69,306.745,1.14782,0.84053,1.59984,0.97686,0.91434,0.93474,0.75243,0.76335,0.54918,1.40016,0.006634,0.006634,0.006634
70,311.159,1.15418,0.83157,1.61026,0.98545,0.92223,0.93954,0.74374,0.80009,0.53487,1.41433,0.0065845,0.0065845,0.0065845
71,315.589,1.12016,0.79777,1.60264,0.98729,0.92446,0.93816,0.77991,0.70326,0.50051,1.37951,0.006535,0.006535,0.006535
72,320.143,1.11292,0.82532,1.56961,0.97869,0.92383,0.93328,0.74562,0.74369,0.65953,1.38137,0.0064855,0.0064855,0.0064855
73,324.567,1.13666,0.83687,1.60953,0.98473,0.92339,0.93355,0.76336,0.73086,0.57167,1.36892,0.006436,0.006436,0.006436
74,328.984,1.1578,0.82711,1.61742,0.9812,0.92021,0.93248,0.75099,0.76369,0.57538,1.39366,0.0063865,0.0063865,0.0063865
75,333.405,1.10148,0.78554,1.58064,0.97912,0.9174,0.93183,0.74854,0.76883,0.54208,1.41536,0.006337,0.006337,0.006337
76,337.851,1.09987,0.79424,1.59334,0.98207,0.91571,0.93639,0.76745,0.72266,0.49596,1.36936,0.0062875,0.0062875,0.0062875
77,342.28,1.06232,0.75475,1.54765,0.97927,0.91601,0.92845,0.76864,0.75716,0.55296,1.41086,0.006238,0.006238,0.006238
78,346.683,1.10426,0.7801,1.55637,0.97503,0.91236,0.92833,0.7283,0.91407,0.60769,1.52048,0.0061885,0.0061885,0.0061885
79,351.103,1.12712,0.79133,1.59224,0.97593,0.91258,0.92932,0.76872,0.6993,0.50157,1.34308,0.006139,0.006139,0.006139
80,355.528,1.09714,0.79716,1.58732,0.97646,0.91336,0.92976,0.75274,0.75815,0.56674,1.39708,0.0060895,0.0060895,0.0060895
81,360.034,1.06864,0.76556,1.54777,0.97493,0.92368,0.93891,0.7675,0.75269,0.55303,1.38707,0.00604,0.00604,0.00604
